LDCS,LDCS_name,JACS,JACS specific title,CAH1 code,CAH1 name,CAH2 code,CAH2 name,CAH3 code,CAH3 name
AC.,PUBLIC ADMINISTRATION,L231,Public administration,CAH15,Social sciences,CAH15-03,Politics,CAH15-03-01,Politics
AC.3,Community Governance,L231,Public administration,CAH15,Social sciences,CAH15-03,Politics,CAH15-03-01,Politics
AD.,INTERNATIONAL BUSINESS STUDIES,N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.2,Europe: business studies,N110,European business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.3,Europe: business studies: specific countries,N110,European business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.4,Middle East: business studies,N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.5,Africa: business studies,N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.6,Americas: business studies,N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.7,Asia: business studies,N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.8,Australasia / Austronesia: business studies,N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AD.9,international business briefings,N120,International business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.,ENTERPRISES,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.2,cooperatives,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.3,self employment,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.31,freelance working,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.4,business start-up,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.41,business plans: new businesses,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.42,business proposals preparation,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.5,small business management,N200,Management studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AE.52,small business operations,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.53,small business personnel,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.54,small business finance,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.55,small business marketing,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.6,joint ventures,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.7,business mergers / acquisitions,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.71,business transfer,N100,Business studies,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-02,Business studies
AE.8,business development,N215,Organisational development,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.,MANAGEMENT SKILLS (SPECIFIC),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.1,management ethics,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.2,personal development (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.21,self management (business),N290,Management studies not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.23,self appraisal (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.24,self motivation (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.25,stress management (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.26,time management (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.3,business communication skills,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.32,letter writing (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.34,presentation skills (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.341,oral presentation skills (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.342,visual presentation skills (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.35,report writing (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.351,technical report writing (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.36,telephone techniques (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.4,business interpersonal skills,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.41,assertiveness (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.42,conflict management (business),N690,Human resources management not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AF.43,interviewing (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.44,negotiating skills (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.45,racism awareness (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.46,sexism awareness (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.47,counselling (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.48,teamworking,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.49,disability awareness (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.5,team building skills,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.51,delegating,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.52,motivating,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.53,leadership,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.54,influencing skills,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.55,team briefing,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.6,meetings / conferences / events,N860,Hospitality,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-06,"Tourism, transport and travel"
AF.61,committee work,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.62,conference programme organisation,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.63,meetings organisation,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.64,minute taking,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.65,events management,N820,Event management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-06,"Tourism, transport and travel"
AF.7,decision making skills,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.71,brainstorming / creative thinking (business),N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.72,prioritising,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.73,problem solving,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AF.8,supervisory skills,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.,MANAGEMENT PLANNING and CONTROL SYSTEMS,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.1,management planning,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.11,policy / strategic planning,N211,Strategic management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.12,management by objectives,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.13,management of change and innovation,N214,Change management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.14,management audit,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.2,business modelling / analysis,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.21,critical path analysis,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.22,decision systems / theory,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.23,network analysis,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.24,quantitative business analysis,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.26,risk analysis,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.27,value analysis,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.3,business forecasting,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.4,business mathematics / statistics,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.41,business mathematics,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.42,business statistics,G310,Applied statistics,CAH09,Mathematical sciences,CAH09-01,Mathematical sciences,CAH09-01-03,Statistics
AG.6,project management (business / industry),N213,Project management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.61,project management methodologies,N213,Project management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.611,Dynamic Systems Development Methodology (DSDM),N213,Project management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.612,PRINCE2,N213,Project management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.613,Structured Systems Analysis and Design Method (SSADM),N213,Project management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.7,business control systems,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.71,management control techniques,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.8,risk management,N210,Management techniques,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.82,disaster mitigation,N252,Disaster management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AG.83,emergency planning (business),N250,Emergency & disaster management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AJ.,HUMAN RESOURCES MANAGEMENT,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.2,personnel administration,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.22,conditions of employment,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.221,equal opportunities,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.222,contracts of employment,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.23,disciplinary procedures,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.24,employment termination procedures,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.241,dismissal procedures,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.242,outplacement procedures,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.243,redundancy procedures,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.25,payroll (personnel administration),N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.26,staff welfare services,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.3,industrial relations,N611,Industrial relations,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.31,trade union representatives,N611,Industrial relations,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.4,recruitment / selection,N614,Recruitment methods,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.41,job analysis description and advertising,N614,Recruitment methods,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.42,job applicant assessment,N614,Recruitment methods,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.43,selection interviewing,N614,Recruitment methods,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.5,staff performance / development,N612,Staff development,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.51,job evaluation,N612,Staff development,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.52,performance appraisal,N612,Staff development,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.53,training administration (inhouse),N612,Staff development,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.54,work enrichment,N612,Staff development,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.55,absenteeism,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.7,work study,N690,Human resources management not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.71,organisation and methods,N690,Human resources management not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.72,time and motion study,N690,Human resources management not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AJ.8,remote work,N600,Human resource management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-05,Human resource management
AK.,FINANCIAL MANAGEMENT / ACCOUNTING,N990,Business & administrative studies not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AK.1,finance / accounting (general),N990,Business & administrative studies not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AK.11,finance / accounting for non-financial managers,N990,Business & administrative studies not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AK.12,insolvency / bankruptcy procedures,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.2,financial management,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.23,financial planning,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.231,cash flow planning,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.232,financial decision making,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.24,resource management,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.25,financial analysis,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.251,financial modelling,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.3,financial control,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.32,budgetary control,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.33,cost management,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.4,credit management,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.42,debt collection,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.43,credit control,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.5,finance raising,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.51,asset financing,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.52,bank loans,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.53,leasing (business),N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.54,mortgaging (business),N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.55,venture capital,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AK.6,accounting,N400,Accounting,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.62,auditing,N421,Auditing of accounts,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.621,auditing (external),N421,Auditing of accounts,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.623,internal auditing,N421,Auditing of accounts,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.63,tax accounting,N490,Accounting not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.631,VAT accounting,N490,Accounting not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.632,income tax accounting,N490,Accounting not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.633,corporation tax accounting,N490,Accounting not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.634,property tax accounting,N490,Accounting not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.635,inheritance tax accounting,N490,Accounting not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.64,cost / management accounting,N411,Cost & management accountancy,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.641,cost accounting,N411,Cost & management accountancy,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.642,management accounting,N411,Cost & management accountancy,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.7,public finance,N412,Public accountancy,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.71,taxation (national) administration,N412,Public accountancy,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.72,taxation (local) administration,N412,Public accountancy,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.8,bookkeeping,N413,Book keeping,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.82,purchase ledger,N413,Book keeping,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.83,sales ledger,N413,Book keeping,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.85,payroll (accounting),N413,Book keeping,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-08,Accounting
AK.9,AK.9,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AK.91,AK.91,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AL.,FINANCIAL SERVICES,N300,Finance,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.2,banking,N310,Banking,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.22,merchant banking,N310,Banking,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.23,international banking,N310,Banking,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.24,building societies,N310,Banking,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.25,credit unions,N310,Banking,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.3,money stock securities and commodity market services,N390,Finance not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.31,stock market services,N390,Finance not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.32,money market services,N390,Finance not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.33,foreign exchange market services,N390,Finance not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.34,commodity market services,N390,Finance not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.35,securities market services,N390,Finance not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.5,insurance,N322,Insurance,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.51,actuarial science,N323,Actuarial science,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.6,investment management,N321,Investment,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.61,financial services act,N390,Finance not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.62,pension fund management,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.63,financial consultancy practice,N340,Financial management,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AL.64,property investment,N321,Investment,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-07,Finance
AM.,AM.,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AM.1,call centre management,N290,Management studies not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-04,Management studies
AM.2,call centre skills,N590,Marketing not elsewhere classified,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-03,Marketing
AY.,OFFICE SKILLS / ADMINISTRATION,N700,Office skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AY.4,AY.4,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.5,AY.5,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.6,AY.6,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.7,AY.7,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.71,AY.71,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.72,AY.72,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.8,AY.8,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.83,AY.83,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.84,AY.84,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AY.85,AY.85,Z990,Z990,CAH23,Combined and general studies,CAH23-01,Combined and general studies,CAH23-01-01,"Combined, general or negotiated studies"
AZ.,TYPEWRITING / SHORTHAND / SECRETARIAL SKILLS,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.1,secretarial skills,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.13,secretarial / linguist,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.131,secretarial / bilingual,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.2,secretarial skills: specific occupations,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.21,medical secretarial work,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.22,legal secretarial work,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.3,personal assistant skills,N720,Secretarial & typing skills,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
AZ.4,shorthand,N722,Shorthand & shorthand transcription,CAH17,Business and management,CAH17-01,Business and management,CAH17-01-09,Others in business and management
