HECoS_Code,HECoS_Label,CAH3_Code,CAH3_Label,CAH2_Code,CAH2_Label,CAH1_Code,CAH1_Label
100069,drama,25-02-03,drama,25-02,performing arts,25,"design, and creative and performing arts"
100070,music,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100071,performing arts,25-02-01,performing arts (non-specific),25-02,performing arts,25,"design, and creative and performing arts"
100074,advertising,17-01-03,marketing,17-01,business and management,17,business and management
100075,marketing,17-01-03,marketing,17-01,business and management,17,business and management
100076,public relations,24-01-02,publicity studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100078,business and management,17-01-01,business and management (non-specific),17-01,business and management,17,business and management
100079,business studies,17-01-02,business studies,17-01,business and management,17,business and management
100080,international business,17-01-02,business studies,17-01,business and management,17,business and management
100083,event management,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100084,hospitality management,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100085,human resource management,17-01-05,human resource management,17-01,business and management,17,business and management
100087,international hospitality management,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100088,leadership,17-01-04,management studies,17-01,business and management,17,business and management
100089,management studies,17-01-04,management studies,17-01,business and management,17,business and management
100090,public administration,15-03-01,politics,15-03,politics,15,social sciences
100091,public services,15-03-01,politics,15-03,politics,15,social sciences
100092,retail management,17-01-04,management studies,17-01,business and management,17,business and management
100093,logistics,10-03-06,others in technology,10-03,materials and technology,10,engineering and technology
100095,sports coaching,03-02-01,sport and exercise sciences,03-02,sport and exercise sciences,03,biological and sport sciences
100096,sports development,03-02-01,sport and exercise sciences,03-02,sport and exercise sciences,03,biological and sport sciences
100097,sports management,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100098,sports studies,03-02-01,sport and exercise sciences,03-02,sport and exercise sciences,03,biological and sport sciences
100100,tourism management,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100101,travel and tourism,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100102,travel management,17-01-06,"tourism, transport and travel",17-01,business and management,17,business and management
100104,accountancy,17-01-08,accounting,17-01,business and management,17,business and management
100105,accounting,17-01-08,accounting,17-01,business and management,17,business and management
100106,actuarial science,17-01-07,finance,17-01,business and management,17,business and management
100107,finance,17-01-07,finance,17-01,business and management,17,business and management
100109,clothing production,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100110,footwear production,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100114,aeronautical engineering,10-01-04,aeronautical and aerospace engineering,10-01,engineering,10,engineering and technology
100115,aerospace engineering,10-01-04,aeronautical and aerospace engineering,10-01,engineering,10,engineering and technology
100116,space technology,10-01-04,aeronautical and aerospace engineering,10-01,engineering,10,engineering and technology
100117,avionics,10-01-04,aeronautical and aerospace engineering,10-01,engineering,10,engineering and technology
100118,satellite engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100120,architectural engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100121,architectural technology,13-01-01,architecture,13-01,"architecture, building and planning",13,"architecture, building and planning"
100122,architecture,13-01-01,architecture,13-01,"architecture, building and planning",13,"architecture, building and planning"
100124,landscape architecture and design,13-01-03,landscape design,13-01,"architecture, building and planning",13,"architecture, building and planning"
100126,biomechanics,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
100127,biomedical engineering,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
100128,dental technology,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
100129,diagnostic imaging,02-05-01,medical technology,02-05,medical sciences,02,subjects allied to medicine
100130,prosthetics and orthotics,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
100131,radiology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
100132,therapeutic imaging,02-05-01,medical technology,02-05,medical sciences,02,subjects allied to medicine
100134,biotechnology,10-03-05,biotechnology,10-03,materials and technology,10,engineering and technology
100135,bioprocessing,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100136,environmental biotechnology,10-03-05,biotechnology,10-03,materials and technology,10,engineering and technology
100137,industrial biotechnology,10-03-05,biotechnology,10-03,materials and technology,10,engineering and technology
100138,medical biotechnology,10-01-06,"bioengineering, medical and biomedical engineering",10-01,engineering,10,engineering and technology
100139,plant biotechnology,10-03-05,biotechnology,10-03,materials and technology,10,engineering and technology
100141,biochemical engineering,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100143,chemical engineering,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100144,pharmaceutical engineering,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100145,polymer science and technology,10-03-03,polymers and textiles,10-03,materials and technology,10,engineering and technology
100147,building services engineering,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100148,civil engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100149,construction,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100150,construction and the built environment,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100151,construction management,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100152,offshore engineering,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100153,structural engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100154,transport engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100155,minerals technology,10-03-01,minerals technology,10-03,materials and technology,10,engineering and technology
100156,highways engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100157,railway engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100159,telecommunications engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100160,computer aided engineering,10-01-01,engineering (non-specific),10-01,engineering,10,engineering and technology
100162,computer systems engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100163,electrical and electronic engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100164,electrical engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100165,electronic engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100166,control systems,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100168,microelectronic engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100169,optoelectronic engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100170,mechatronics and robotics,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100172,nuclear engineering,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100175,energy engineering,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100176,gas engineering,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100177,microwave engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100178,petroleum engineering,10-01-09,"chemical, process and energy engineering",10-01,engineering,10,engineering and technology
100180,environmental engineering,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100182,engineering design,10-01-01,engineering (non-specific),10-01,engineering,10,engineering and technology
100183,fire safety engineering,10-01-10,others in engineering,10-01,engineering,10,engineering and technology
100184,general or integrated engineering,10-01-01,engineering (non-specific),10-01,engineering,10,engineering and technology
100185,safety engineering,10-01-10,others in engineering,10-01,engineering,10,engineering and technology
100186,emergency and disaster technologies,10-03-06,others in technology,10-03,materials and technology,10,engineering and technology
100188,systems engineering,10-01-08,electrical and electronic engineering,10-01,engineering,10,engineering and technology
100190,mechanical engineering,10-01-02,mechanical engineering,10-01,engineering,10,engineering and technology
100192,electromechanical engineering,10-01-02,mechanical engineering,10-01,engineering,10,engineering and technology
100193,maintenance engineering,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100194,marine technology,10-03-04,maritime technology,10-03,materials and technology,10,engineering and technology
100196,housing,13-01-04,"planning (urban, rural and regional)",13-01,"architecture, building and planning",13,"architecture, building and planning"
100197,planning,13-01-04,"planning (urban, rural and regional)",13-01,"architecture, building and planning",13,"architecture, building and planning"
100198,transport planning,13-01-04,"planning (urban, rural and regional)",13-01,"architecture, building and planning",13,"architecture, building and planning"
100199,urban and regional planning,13-01-04,"planning (urban, rural and regional)",13-01,"architecture, building and planning",13,"architecture, building and planning"
100201,automotive engineering,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100202,manufacturing engineering,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100203,materials engineering,10-03-02,materials technology,10-03,materials and technology,10,engineering and technology
100204,mining engineering,10-01-10,others in engineering,10-01,engineering,10,engineering and technology
100205,motorcycle engineering,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100206,motorsport engineering,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100207,naval architecture,10-01-05,naval architecture,10-01,engineering,10,engineering and technology
100209,production and manufacturing engineering,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100210,leather technology,10-03-03,polymers and textiles,10-03,materials and technology,10,engineering and technology
100211,fabrication,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100212,minerals processing,10-03-01,minerals technology,10-03,materials and technology,10,engineering and technology
100213,quality management,10-01-03,production and manufacturing engineering,10-01,engineering,10,engineering and technology
100214,textiles technology,10-03-03,polymers and textiles,10-03,materials and technology,10,engineering and technology
100216,building surveying,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100217,quantity surveying,13-01-02,building,13-01,"architecture, building and planning",13,"architecture, building and planning"
100218,real estate,17-01-02,business studies,17-01,business and management,17,business and management
100219,surveying,10-01-07,civil engineering,10-01,engineering,10,engineering and technology
100221,music technology,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100222,audio technology,10-03-06,others in technology,10-03,materials and technology,10,engineering and technology
100223,music production,25-02-02,music,25-02,performing arts,25,"design, and creative and performing arts"
100225,materials science,10-03-07,materials science,10-03,materials and technology,10,engineering and technology
100229,aviation studies,10-01-04,aeronautical and aerospace engineering,10-01,engineering,10,engineering and technology
100230,navigation,10-03-06,others in technology,10-03,materials and technology,10,engineering and technology
100233,acupuncture,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100234,alternative medicines and therapies,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100235,aromatherapy,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100236,Chinese medical techniques,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100237,herbal medicine,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100239,reflexology,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100241,chiropractic,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100242,complementary medicines and therapies,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100243,osteopathy,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100246,health sciences,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
100247,nutrition,02-06-02,nutrition and dietetics,02-06,allied health,02,subjects allied to medicine
100248,occupational health,02-06-04,environmental and public health,02-06,allied health,02,subjects allied to medicine
100249,occupational therapy,02-06-07,"counselling, psychotherapy and occupational therapy",02-06,allied health,02,subjects allied to medicine
100250,pharmacology,02-02-01,pharmacology,02-02,"pharmacology, toxicology and pharmacy",02,subjects allied to medicine
100251,pharmacy,02-02-03,pharmacy,02-02,"pharmacology, toxicology and pharmacy",02,subjects allied to medicine
100252,physiotherapy,02-06-05,physiotherapy,02-06,allied health,02,subjects allied to medicine
100253,podiatry,02-06-06,complementary and alternative medicine,02-06,allied health,02,subjects allied to medicine
100254,psychotherapy,02-06-07,"counselling, psychotherapy and occupational therapy",02-06,allied health,02,subjects allied to medicine
100255,speech and language therapy,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
100257,audiology,02-05-02,healthcare science (non-specific),02-05,medical sciences,02,subjects allied to medicine
100258,clinical physiology,02-05-04,"anatomy, physiology and pathology",02-05,medical sciences,02,subjects allied to medicine
100259,genetics,03-01-07,genetics,03-01,biosciences,03,biological and sport sciences
100260,healthcare science,02-05-02,healthcare science (non-specific),02-05,medical sciences,02,subjects allied to medicine
100261,ophthalmology,01-01-03,medicine by specialism,01-01,medicine and dentistry,01,medicine and dentistry
100262,physiology,02-05-04,"anatomy, physiology and pathology",02-05,medical sciences,02,subjects allied to medicine
100264,anatomy,02-05-04,"anatomy, physiology and pathology",02-05,medical sciences,02,subjects allied to medicine
100265,biomedical sciences,02-05-03,biomedical sciences (non-specific),02-05,medical sciences,02,subjects allied to medicine
100266,clinical dentistry,01-01-04,dentistry,01-01,medicine and dentistry,01,medicine and dentistry
100267,clinical medicine,01-01-02,medicine (non-specific),01-01,medicine and dentistry,01,medicine and dentistry
100268,dentistry,01-01-04,dentistry,01-01,medicine and dentistry,01,medicine and dentistry
100270,medical sciences,01-01-01,medical sciences (non-specific),01-01,medicine and dentistry,01,medicine and dentistry
100271,medicine,01-01-02,medicine (non-specific),01-01,medicine and dentistry,01,medicine and dentistry
100272,neuroscience,02-05-03,biomedical sciences (non-specific),02-05,medical sciences,02,subjects allied to medicine
100273,operating department practice,02-06-01,health sciences (non-specific),02-06,allied health,02,subjects allied to medicine
100274,pathology,02-05-04,"anatomy, physiology and pathology",02-05,medical sciences,02,subjects allied to medicine
100275,pre-clinical dentistry,01-01-04,dentistry,01-01,medicine and dentistry,01,medicine and dentistry
100276,pre-clinical medicine,01-01-02,medicine (non-specific),01-01,medicine and dentistry,01,medicine and dentistry
100277,toxicology,02-02-02,toxicology,02-02,"pharmacology, toxicology and pharmacy",02,subjects allied to medicine
100279,adult nursing,02-04-02,adult nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100280,children's nursing,02-04-05,children's nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100281,community nursing,02-04-03,community nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100282,critical care nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100283,dental nursing,02-04-06,dental nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100284,emergency nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100285,general practice nursing,02-04-03,community nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100286,learning disabilities nursing,02-04-08,learning disabilities nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100287,mental health nursing,02-04-07,mental health nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100288,midwifery,02-04-04,midwifery,02-04,nursing and midwifery,02,subjects allied to medicine
100289,neonatal nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100290,nursing,02-04-01,nursing (non-specific),02-04,nursing and midwifery,02,subjects allied to medicine
100291,older people nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100292,palliative care nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100293,school nursing,02-04-03,community nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100294,theatre nursing,02-04-09,others in nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100295,health visiting,02-04-03,community nursing,02-04,nursing and midwifery,02,subjects allied to medicine
100298,ancient history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100299,archaeology,20-01-03,archaeology,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100300,classical studies,20-01-05,classics,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100301,economic history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100302,history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100306,history of art,20-01-02,"history of art, architecture and design",20-01,history and archaeology,20,"historical, philosophical and religious studies"
100307,history of science,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100308,local history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100309,medieval history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100310,modern history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100311,Scottish history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100312,social history,20-01-01,history,20-01,history and archaeology,20,"historical, philosophical and religious studies"
100314,humanities,23-01-03,humanities (non-specific),23-01,combined and general studies,23,combined and general studies
100316,American studies,19-04-08,American and Australasian studies,19-04,languages and area studies,19,language and area studies
100317,British Sign Language studies,19-01-06,others in English studies,19-01,English studies,19,language and area studies
100318,English language,19-01-02,English language,19-01,English studies,19,language and area studies
100319,English literature,19-01-03,literature in English,19-01,English studies,19,language and area studies
100320,English studies,19-01-01,English studies (non-specific),19-01,English studies,19,language and area studies
100321,French language,19-04-01,French studies,19-04,languages and area studies,19,language and area studies
100322,French studies,19-04-01,French studies,19-04,languages and area studies,19,language and area studies
100323,German language,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
100324,German studies,19-04-02,German and Scandinavian studies,19-04,languages and area studies,19,language and area studies
100325,Spanish studies,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
100326,Italian language,19-04-03,Italian studies,19-04,languages and area studies,19,language and area studies
100327,Italian studies,19-04-03,Italian studies,19-04,languages and area studies,19,language and area studies
100328,linguistics,19-01-07,linguistics,19-01,English studies,19,language and area studies
100329,modern languages,19-04-09,others in language and area studies,19-04,languages and area studies,19,language and area studies
100330,Russian languages,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
100331,Russian and East European studies,19-04-05,Slavic studies,19-04,languages and area studies,19,language and area studies
100332,Spanish language,19-04-04,Iberian studies,19-04,languages and area studies,19,language and area studies
100333,Welsh language,19-02-03,Welsh studies,19-02,Celtic studies,19,language and area studies
100335,Welsh studies,19-02-03,Welsh studies,19-02,Celtic studies,19,language and area studies
100337,philosophy,20-02-01,philosophy,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100338,philosophy of science,20-02-01,philosophy,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100339,religious studies,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100340,theology,20-02-02,theology and religious studies,20-02,philosophy and religious studies,20,"historical, philosophical and religious studies"
100343,applied biology,03-01-10,others in biosciences,03-01,biosciences,03,biological and sport sciences
100344,biochemistry,03-01-08,"molecular biology, biophysics and biochemistry",03-01,biosciences,03,biological and sport sciences
100345,biological sciences,03-01-01,biosciences (non-specific),03-01,biosciences,03,biological and sport sciences
100346,biology,03-01-02,biology (non-specific),03-01,biosciences,03,biological and sport sciences
100347,ecology,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
100348,environmental biology,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
100350,human biology,03-01-10,others in biosciences,03-01,biosciences,03,biological and sport sciences
100351,marine biology,03-01-03,ecology and environmental biology,03-01,biosciences,03,biological and sport sciences
100352,medical biochemistry,03-01-08,"molecular biology, biophysics and biochemistry",03-01,biosciences,03,biological and sport sciences
100353,microbiology,03-01-04,microbiology and cell science,03-01,biosciences,03,biological and sport sciences
100354,molecular biology,03-01-08,"molecular biology, biophysics and biochemistry",03-01,biosciences,03,biological and sport sciences
100355,plant sciences,03-01-05,plant sciences,03-01,biosciences,03,biological and sport sciences
100356,zoology,03-01-06,zoology,03-01,biosciences,03,biological and sport sciences
100358,applied computing,11-01-08,others in computing,11-01,computing,11,computing
100359,artificial intelligence,11-01-05,artificial intelligence,11-01,computing,11,computing
100360,business computing,11-01-07,business computing,11-01,computing,11,computing
100361,business information systems,11-01-07,business computing,11-01,computing,11,computing
100362,business information technology,11-01-07,business computing,11-01,computing,11,computing
100363,computer animation and visual effects,11-01-06,computer games and animation,11-01,computing,11,computing
100365,computer networks,11-01-01,computer science,11-01,computing,11,computing
100366,computer science,11-01-01,computer science,11-01,computing,11,computing
100367,computing and information technology,11-01-02,information technology,11-01,computing,11,computing
100368,creative computing,11-01-08,others in computing,11-01,computing,11,computing
100369,geographical information systems,26-01-05,others in geographical studies,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100370,information management,24-01-01,information services,24-01,"media, journalism and communications",24,"media, journalism and communications"
100371,information systems,11-01-03,information systems,11-01,computing,11,computing
100372,information technology,11-01-02,information technology,11-01,computing,11,computing
100373,internet technologies,11-01-02,information technology,11-01,computing,11,computing
100374,software engineering,11-01-04,software engineering,11-01,computing,11,computing
100375,web and multimedia design,25-01-03,design studies,25-01,creative arts and design,25,"design, and creative and performing arts"
100376,computer and information security,11-01-04,software engineering,11-01,computing,11,computing
100379,climate science,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100380,environmental geoscience,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100381,environmental sciences,26-01-04,environmental sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100382,meteorology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100384,archaeological sciences,07-04-02,forensic and archaeological sciences,07-04,"general, applied and forensic sciences",07,physical sciences
100385,computer forensics,11-01-08,others in computing,11-01,computing,11,computing
100386,forensic biology,07-04-02,forensic and archaeological sciences,07-04,"general, applied and forensic sciences",07,physical sciences
100387,forensic psychology,04-01-02,applied psychology,04-01,psychology,04,psychology
100388,forensic science,07-04-02,forensic and archaeological sciences,07-04,"general, applied and forensic sciences",07,physical sciences
100390,general science,07-04-03,sciences (non-specific),07-04,"general, applied and forensic sciences",07,physical sciences
100391,natural sciences,07-04-04,natural sciences (non-specific),07-04,"general, applied and forensic sciences",07,physical sciences
100392,applied science,07-04-03,sciences (non-specific),07-04,"general, applied and forensic sciences",07,physical sciences
100394,earth sciences,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100395,geology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100396,geophysics,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100398,palaeontology,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100400,applied mathematics,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
100401,financial mathematics,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
100402,mathematical modelling,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
100403,mathematics,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
100404,operational research,09-01-02,operational research,09-01,mathematical sciences,09,mathematical sciences
100405,pure mathematics,09-01-01,mathematics,09-01,mathematical sciences,09,mathematical sciences
100406,statistics,09-01-03,statistics,09-01,mathematical sciences,09,mathematical sciences
100408,environmental geography,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100409,geography,26-01-01,geography (non-specific),26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100410,physical geography,26-01-02,physical geographical sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100413,analytical chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
100414,astronomy,07-01-02,astronomy,07-01,physics and astronomy,07,physical sciences
100415,astrophysics,07-01-02,astronomy,07-01,physics and astronomy,07,physical sciences
100416,chemical physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100417,chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
100418,marine sciences,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100419,medical physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100420,medicinal chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
100421,ocean sciences,26-01-06,earth sciences,26-01,"geography, earth and environmental studies",26,"geography, earth and environmental studies"
100422,organic chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
100423,pharmaceutical chemistry,07-02-01,chemistry,07-02,chemistry,07,physical sciences
100424,physical sciences,07-04-01,physical sciences (non-specific),07-04,"general, applied and forensic sciences",07,physical sciences
100425,physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100426,theoretical physics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100427,acoustics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100428,aerodynamics,10-01-04,aeronautical and aerospace engineering,10-01,engineering,10,engineering and technology
100429,dynamics,10-01-02,mechanical engineering,10-01,engineering,10,engineering and technology
100430,mechanics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100431,thermodynamics,07-01-01,physics,07-01,physics and astronomy,07,physical sciences
100433,sport and exercise sciences,03-02-01,sport and exercise sciences,03-02,sport and exercise sciences,03,biological and sport sciences
100436,anthropology,15-01-04,anthropology,15-01,"sociology, social policy and anthropology",15,social sciences
100437,social anthropology,15-01-04,anthropology,15-01,"sociology, social policy and anthropology",15,social sciences
100439,broadcast journalism,24-01-04,journalism,24-01,"media, journalism and communications",24,"media, journalism and communications"
100440,digital media,24-01-05,media studies,24-01,"media, journalism and communications",24,"media, journalism and communications"
100441,film production,25-01-04,cinematics and photography,25-01,creative arts and design,25,"design, and creative and performing arts"
100442,journalism,24-01-04,journalism,24-01,"media, journalism and communications",24,"media, journalism and communications"
